t_s,speed_kmh
309.94,108.0
311.14,126.0
311.34,130.0
311.54,134.0
311.74,138.0
311.94,142.0
312.14,148.0
312.54,156.0
312.94,166.0
313.14,170.0
313.34,169.0
313.74,156.0
313.94,148.0
314.34,135.0
314.94,118.0
315.54,109.0
315.74,108.0
315.94,106.0
316.14,104.0
316.34,102.0
316.54,102.0
316.74,103.0
316.94,105.0
317.14,106.0
317.34,108.0
317.54,110.0
318.14,118.0
318.34,122.0
318.54,128.0
318.74,133.0
318.94,136.0
319.14,139.0
319.54,142.0
319.74,146.0
319.94,149.0
320.34,156.0
320.54,159.0
321.14,170.0
321.34,172.0
321.54,172.0
322.14,170.0
322.34,169.0
322.54,169.0
322.74,169.0
322.94,168.0
323.14,168.0
323.34,169.0
323.54,169.0
323.74,170.0
324.14,173.0
324.34,175.0
324.54,178.0
325.14,186.0
325.34,188.0
325.54,192.0
325.74,196.0
325.94,200.0
326.14,204.0
326.34,206.0
326.54,202.0
327.14,186.0
327.34,182.0
327.74,180.0
327.94,178.0
328.14,174.0
328.34,166.0
328.54,160.0
328.74,156.0
329.14,149.0
329.34,148.0
329.54,146.0
329.74,145.0
329.94,145.0
330.14,145.0
330.34,146.0
330.54,144.0
330.74,144.0
330.94,145.0
331.14,145.0
331.34,145.0
331.54,146.0
331.74,148.0
331.94,148.0
332.14,149.0
332.34,150.0
333.14,158.0
333.34,160.0
334.94,166.0
335.14,169.0
335.34,172.0
335.74,177.0
335.94,180.0
336.14,184.0
336.54,192.0
336.74,196.0
336.94,196.0
337.34,196.0
337.54,195.0
337.74,195.0
337.94,194.0
338.14,193.0
338.34,193.0
338.54,192.0
338.74,192.0
338.94,193.0
339.14,194.0
339.34,195.0
340.54,195.0
340.74,194.0
341.14,190.0
341.34,190.0
341.54,189.0
341.74,189.0
341.94,189.0
342.14,190.0
342.54,192.0
342.74,195.0
343.14,201.0
343.34,204.0
343.54,206.0
343.74,207.0
343.94,209.0
344.14,212.0
344.34,213.0
344.54,214.0
344.74,214.0
344.94,214.0
345.14,215.0
345.34,217.0
345.54,218.0
345.74,221.0
345.94,224.0
346.14,226.0
346.34,228.0
346.54,231.0
346.74,234.0
346.94,236.0
347.14,239.0
347.34,242.0
347.54,245.0
347.74,247.0
347.94,250.0
348.14,253.0
348.34,255.0
348.54,255.0
348.74,249.0
348.94,243.0
349.14,235.0
349.34,227.0
349.54,222.0
349.74,214.0
349.94,205.0
350.14,199.0
350.34,195.0
350.54,190.0
350.74,184.0
350.94,177.0
351.34,169.0
351.54,166.0
351.94,160.0
352.34,156.0
353.34,156.0
354.14,158.0
355.14,142.0
355.34,135.0
355.54,129.0
356.14,120.0
356.34,118.0
356.54,116.0
356.74,116.0
356.94,116.0
357.34,118.0
357.54,120.0
357.74,122.0
357.94,124.0
358.34,130.0
358.54,133.0
358.74,136.0
358.94,139.0
359.14,142.0
359.74,156.0
360.14,166.0
360.34,170.0
360.54,174.0
360.74,168.0
360.94,160.0
361.14,150.0
361.34,142.0
361.54,133.0
361.74,126.0
361.94,118.0
362.54,105.0
362.74,104.0
362.94,103.0
363.14,102.0
363.34,100.0
363.54,99.0
363.74,99.0
363.94,99.0
364.74,103.0
364.94,106.0
365.14,108.0
365.34,110.0
365.94,118.0
366.14,123.0
366.34,126.0
366.54,132.0
366.74,138.0
366.94,143.0
368.14,110.0
368.54,179.0
368.74,183.0
369.14,190.0
369.34,194.0
369.54,198.0
369.74,200.0
369.94,198.0
370.14,192.0
370.34,183.0
370.54,174.0
370.94,158.0
371.14,153.0
371.34,150.0
371.54,148.0
371.74,146.0
371.94,145.0
372.14,143.0
372.34,142.0
372.74,142.0
372.94,143.0
373.14,145.0
373.34,146.0
373.74,149.0
373.94,150.0
374.54,160.0
374.74,160.0
375.14,160.0
375.74,156.0
377.74,150.0
377.94,149.0
378.94,165.0
379.14,169.0
379.34,173.0
379.54,177.0
379.94,185.0
380.14,188.0
380.54,195.0
380.74,198.0
380.94,200.0
381.14,202.0
381.34,205.0
381.54,209.0
381.94,214.0
382.14,218.0
382.34,220.0
382.54,224.0
382.74,226.0
382.94,229.0
383.14,232.0
383.34,234.0
383.54,237.0
383.74,240.0
383.94,243.0
384.14,244.0
384.34,247.0
384.54,250.0
384.94,255.0
385.14,256.0
385.34,258.0
385.54,261.0
385.74,263.0
385.94,265.0
386.14,266.0
386.34,266.0
386.54,270.0
386.74,274.0
386.94,276.0
387.14,278.0
387.34,280.0
387.54,281.0
387.74,284.0
387.94,285.0
388.14,287.0
388.34,289.0
388.54,291.0
388.74,292.0
388.94,294.0
389.14,295.0
389.34,297.0
389.54,298.0
389.74,300.0
389.94,301.0
390.14,303.0
390.34,304.0
390.54,305.0
390.74,306.0
390.94,307.0
391.14,308.0
391.34,310.0
391.74,313.0
391.94,313.0
392.14,315.0
392.34,316.0
392.54,317.0
392.74,318.0
392.94,319.0
393.14,320.0
393.34,321.0
393.54,322.0
393.74,323.0
393.94,324.0
394.14,325.0
394.34,326.0
394.54,327.0
394.74,328.0
394.94,329.0
395.14,330.0
395.34,331.0
395.54,332.0
395.74,332.0
395.94,333.0
396.14,334.0
396.34,334.0
396.54,335.0
396.74,336.0
396.94,336.0
397.14,337.0
397.34,337.0
397.54,338.0
397.74,338.0
397.94,339.0
398.14,339.0
398.34,339.0
398.54,340.0
398.74,340.0
398.94,340.0
399.14,341.0
399.34,341.0
399.54,341.0
399.74,341.0
399.94,342.0
400.14,342.0
400.34,342.0
400.54,343.0
400.74,344.0
400.94,344.0
401.14,344.0
401.34,345.0
401.54,345.0
401.74,346.0
401.94,346.0
402.14,346.0
402.34,345.0
402.54,343.0
402.74,341.0
402.94,339.0
403.14,337.0
403.34,335.0
403.54,334.0
403.74,332.0
403.94,330.0
404.14,328.0
404.34,327.0
404.54,324.0
404.74,323.0
404.94,321.0
405.14,319.0
405.34,318.0
405.54,317.0
405.74,319.0
405.94,316.0
406.14,315.0
406.34,314.0
406.54,315.0
406.74,316.0
406.94,317.0
407.14,317.0
407.34,318.0
407.54,320.0
407.74,321.0
407.94,322.0
408.14,323.0
408.34,320.0
408.54,314.0
408.74,306.0
408.94,300.0
409.14,293.0
409.34,287.0
409.54,282.0
409.74,274.0
409.94,267.0
410.14,265.0
410.34,263.0
410.54,261.0
410.74,259.0
410.94,254.0
411.14,249.0
411.34,243.0
411.54,237.0
411.74,233.0
411.94,230.0
412.14,228.0
412.34,226.0
412.54,224.0
412.74,223.0
412.94,222.0
413.14,224.0
413.34,219.0
413.54,213.0
413.74,205.0
414.14,189.0
414.34,182.0
414.54,176.0
414.74,170.0
415.34,149.0
415.54,144.0
415.74,137.0
415.94,132.0
416.34,122.0
416.54,116.0
416.94,104.0
417.14,98.0
417.34,95.0
417.54,92.0
417.74,89.0
417.94,86.0
418.14,85.0
418.34,85.0
418.54,87.0
418.74,89.0
418.94,92.0
419.14,96.0
419.54,106.0
419.74,109.0
419.94,108.0
420.34,106.0
420.54,105.0
420.94,108.0
421.14,109.0
421.54,116.0
421.74,116.0
421.94,108.0
422.14,104.0
422.34,99.0
422.54,95.0
422.74,91.0
422.94,87.0
423.14,83.0
423.34,83.0
423.54,82.0
423.74,84.0
423.94,86.0
424.14,89.0
424.34,90.0
424.54,92.0
424.74,93.0
424.94,96.0
425.14,98.0
425.34,97.0
425.54,95.0
425.74,94.0
425.94,92.0
426.14,90.0
426.34,87.0
426.54,84.0
426.74,82.0
426.94,79.0
427.14,78.0
