filename,time,speed
Xiaomi SU7 Ultra20260819_145544.069.jpg,04:47.72,168
Xiaomi SU7 Ultra20260819_145545.070.jpg,04:48.72,160
Xiaomi SU7 Ultra20260819_145546.068.jpg,04:49.72,129
Xiaomi SU7 Ultra20260819_145547.066.jpg,04:50.72,122
Xiaomi SU7 Ultra20260819_145548.067.jpg,04:51.72,117
Xiaomi SU7 Ultra20260819_145549.068.jpg,04:52.72,131
Xiaomi SU7 Ultra20260819_145550.067.jpg,04:53.72,152
Xiaomi SU7 Ultra20260819_145551.068.jpg,04:54.72,138
Xiaomi SU7 Ultra20260819_145552.066.jpg,04:55.72,120
Xiaomi SU7 Ultra20260819_145553.065.jpg,04:56.72,115
Xiaomi SU7 Ultra20260819_145554.064.jpg,04:57.72,119
Xiaomi SU7 Ultra20260819_145555.064.jpg,04:58.72,129
Xiaomi SU7 Ultra20260819_145556.065.jpg,04:59.72,143
Xiaomi SU7 Ultra20260819_145557.069.jpg,05:00.72,134
Xiaomi SU7 Ultra20260819_145558.066.jpg,05:01.72,110
Xiaomi SU7 Ultra20260819_145559.066.jpg,05:02.72,111
Xiaomi SU7 Ultra20260819_145600.065.jpg,05:03.72,123
Xiaomi SU7 Ultra20260819_145601.066.jpg,05:04.72,146
Xiaomi SU7 Ultra20260819_145602.066.jpg,05:05.72,171
Xiaomi SU7 Ultra20260819_145603.065.jpg,05:06.72,145
Xiaomi SU7 Ultra20260819_145604.065.jpg,05:07.72,115
Xiaomi SU7 Ultra20260819_145605.065.jpg,05:08.72,105
Xiaomi SU7 Ultra20260819_145606.066.jpg,05:09.72,105
Xiaomi SU7 Ultra20260819_145607.064.jpg,05:10.72,121
Xiaomi SU7 Ultra20260819_145608.064.jpg,05:11.72,138
Xiaomi SU7 Ultra20260819_145609.066.jpg,05:12.72,161
Xiaomi SU7 Ultra20260819_145610.066.jpg,05:13.72,156
Xiaomi SU7 Ultra20260819_145611.065.jpg,05:14.72,124
Xiaomi SU7 Ultra20260819_145612.064.jpg,05:15.72,108
Xiaomi SU7 Ultra20260819_145613.068.jpg,05:16.72,103
Xiaomi SU7 Ultra20260819_145614.066.jpg,05:17.72,113
Xiaomi SU7 Ultra20260819_145615.070.jpg,05:18.72,133
Xiaomi SU7 Ultra20260819_145616.064.jpg,05:19.72,146
Xiaomi SU7 Ultra20260819_145617.065.jpg,05:20.72,163
Xiaomi SU7 Ultra20260819_145618.066.jpg,05:21.72,171
Xiaomi SU7 Ultra20260819_145619.066.jpg,05:22.72,169
Xiaomi SU7 Ultra20260819_145620.066.jpg,05:23.72,170
Xiaomi SU7 Ultra20260819_145621.065.jpg,05:24.72,181
Xiaomi SU7 Ultra20260819_145622.067.jpg,05:25.72,196
Xiaomi SU7 Ultra20260819_145623.067.jpg,05:26.72,197
Xiaomi SU7 Ultra20260819_145624.069.jpg,05:27.72,180
Xiaomi SU7 Ultra20260819_145625.066.jpg,05:28.72,156
Xiaomi SU7 Ultra20260819_145626.067.jpg,05:29.72,145
Xiaomi SU7 Ultra20260819_145627.061.jpg,05:30.6,144
Xiaomi SU7 Ultra20260819_145628.064.jpg,05:31.72,148
Xiaomi SU7 Ultra20260819_145629.067.jpg,05:32.72,153
Xiaomi SU7 Ultra20260819_145630.068.jpg,05:33.72,161
Xiaomi SU7 Ultra20260819_145631.070.jpg,05:34.72,164
Xiaomi SU7 Ultra20260819_145632.072.jpg,05:35.72,177
Xiaomi SU7 Ultra20260819_145633.067.jpg,05:36.72,196
Xiaomi SU7 Ultra20260819_145634.065.jpg,05:37.72,195
Xiaomi SU7 Ultra20260819_145635.068.jpg,05:38.72,192
Xiaomi SU7 Ultra20260819_145636.065.jpg,05:39.72,197
Xiaomi SU7 Ultra20260819_145637.065.jpg,05:40.72,194
Xiaomi SU7 Ultra20260819_145638.065.jpg,05:41.72,189
Xiaomi SU7 Ultra20260819_145639.065.jpg,05:42.72,195
Xiaomi SU7 Ultra20260819_145640.065.jpg,05:43.72,207
Xiaomi SU7 Ultra20260819_145641.065.jpg,05:44.72,214
Xiaomi SU7 Ultra20260819_145642.066.jpg,05:45.72,221
