No.,MM,SS,FF,SPEED,G,Max G,Min G
100,1,38,32,129,-1.16,,
101,1,39,32,128,-0.03,,
102,1,40,32,133,0.14,,
103,1,41,32,128,-0.14,,
104,1,42,32,95,-0.94,,
105,1,43,32,84,-0.31,,
106,1,44,32,82,-0.06,,
107,1,45,32,96,0.40,,
108,1,46,32,88,-0.23,,
109,1,47,32,100,0.34,,
110,1,48,32,127,0.77,,
111,1,49,32,154,0.77,,
112,1,50,32,188,0.96,,
113,1,51,32,225,1.05,,
114,1,52,32,251,0.74,,
115,1,53,32,278,0.77,,
116,1,54,32,261,-0.48,,
117,1,55,32,229,-0.91,,
118,1,56,32,206,-0.65,,
119,1,57,32,181,-0.71,,
120,1,58,32,165,-0.45,,
121,1,59,32,171,0.17,,
122,2,0,32,179,0.23,,
123,2,1,32,191,0.34,,
124,2,2,32,150,-1.16,,
125,2,3,32,115,-0.99,,
126,2,4,32,105,-0.28,,
127,2,5,32,111,0.17,,
128,2,6,32,134,0.65,,
129,2,7,32,151,0.48,,
130,2,8,32,174,0.65,,
131,2,9,32,152,-0.62,,
132,2,10,32,120,-0.91,,
133,2,11,32,94,-0.74,,
134,2,12,32,91,-0.09,,
135,2,13,32,98,0.20,,
136,2,14,32,124,0.74,,
137,2,15,32,154,0.85,,
138,2,16,32,180,0.74,,
139,2,17,32,168,-0.34,,
140,2,18,32,151,-0.48,,
141,2,19,32,157,0.17,,
142,2,20,32,166,0.26,,
143,2,21,32,182,0.45,,
144,2,22,32,166,-0.45,,
145,2,23,32,144,-0.62,,
146,2,24,32,145,0.03,,
147,2,25,32,148,0.09,,
148,2,26,32,154,0.17,,
149,2,27,32,170,0.45,,
150,2,28,32,188,0.51,,
151,2,29,32,205,0.48,,
152,2,30,32,162,-1.22,,
153,2,31,32,132,-0.85,,
154,2,32,32,119,-0.37,,
155,2,33,32,97,-0.62,,
156,2,34,32,80,-0.48,,
157,2,35,32,64,-0.45,,
158,2,36,32,77,0.37,,
159,2,37,32,114,1.05,,
160,2,38,32,129,0.43,,
161,2,39,32,150,0.60,,
162,2,40,32,175,0.71,,
163,2,41,32,198,0.65,,
164,2,42,32,215,0.48,,
165,2,43,32,192,-0.65,,
166,2,44,32,160,-0.91,,
167,2,45,32,134,-0.74,,
168,2,46,32,112,-0.62,,
