frame,t_lap,ocr
361,72.2,GPSSpeedkm/h 110
362,72.4,GPSSpeedkm/h 113
363,72.6,GPSSpeedkm/h 117
364,72.8,GPSSpeedkm/h 120
365,73.0,GPSSpeedkm/h 125
366,73.2,GPSSpeedkm/h 131
367,73.4,GPSSpeedkm/h 137
368,73.6,GPSSpeedkm/h 143
369,73.8,GPSSpeedkm/h 147
370,74.0,GPSSpeedkm/h 150
371,74.2,GPSSpeedkm/h 155
372,74.4,GPSSpeedkm/h 163
373,74.6,GPSSpeedkm/h 169
374,74.8,GPSSpeedkm/h 173
375,75.0,GPSSpeedkm/h 180
376,75.2,GPSSpeedkm/h 182
377,75.4,GPSSpeedkm/h 187
378,75.6,GPSSpeedkm/h 195
379,75.8,GPSSpeedkm/h 200
380,76.0,GPSSpeedkm/h 208
381,76.2,GPSSpeedkm/h 213
382,76.4,GPSSpeedkm/h 217
383,76.6,GPSSpeedkm/h 222 
384,76.8,GPSSpeedkm/h 226
385,77.0,GPSSpeedkm/h 231
386,77.2,GPSSpeedkm/h 235
387,77.4,GPSSpeedkm/h 239
388,77.6,GPSSpeedkm/h 242
389,77.8,GPSSpeedkm/h 245
390,78.0,GPSSpeedkm/h 249
391,78.2,GPSSpeedkm/h 251
392,78.4,GPSSpeedkm/h 254
393,78.6,GPSSpeedkm/h 256
394,78.8,GPSSpeedkm/h 260
395,79.0,GPSSpeedkm/h 263
396,79.2,GPSSpeedkm/h 267
397,79.4,GPSSpeedkm/h 270
398,79.6,GPSSpeedkm/h 273
399,79.8,GPSSpeedkm/h 275
400,80.0,GPSSpeedkm/h 279
401,80.2,GPSSpeedkm/h 281
402,80.4,GPSSpeedkm/h 283
403,80.6,GPSSpeedkm/h 286
404,80.8,GPSSpeedkm/h 288
405,81.0,GPSSpeedkm/h 288
406,81.2,GPSSpeedkm/h 290
407,81.4,GPSSpeedkm/h 292
408,81.6,GPSSpeedkm/h 294
409,81.8,GPSSpeedkm/h 297
410,82.0,GPSSpeedkm/h 300
411,82.2,GPSSpeedkm/h 302
412,82.4,GPSSpeedkm/h 304
413,82.6,GPSSpeedkm/h 305
414,82.8,GPSSpeedkm/h 307
415,83.0,GPSSpeedkm/h 309
416,83.2,GPSSpeedkm/h 311
417,83.4,GPSSpeedkm/h 313
418,83.6,GPSSpeedkm/h 313
419,83.8,GPSSpeedkm/h 312
420,84.0,GPSSpeedkm/h 312
421,84.2,GPSSpeedkm/h 311
422,84.4,GPSSpeedkm/h 308
423,84.6,GPSSpeedkm/h 306
424,84.8,GPSSpeedkm/h 303
425,85.0,GPSSpeedkm/h 300
426,85.2,GPSSpeedkm/h 295
427,85.4,GPSSpeedkm/h 286
428,85.6,GPSSpeedkm/h 276
429,85.8,GPSSpeedkm/h 261
430,86.0,GPSSpeedkm/h 250
431,86.2,GPSSpeedkm/h 242
432,86.4,GPSSpeedkm/h 231
433,86.6,GPSSpeedkm/h 220
434,86.8,GPSSpeedkm/h 211
435,87.0,GPSSpeedkm/h 203
436,87.2,GPSSpeedkm/h 196
437,87.4,GPSSpeedkm/h 194
438,87.6,GPSSpeedkm/h 193
439,87.8,GPSSpeedkm/h 191
440,88.0,GPSSpeedkm/h 189
441,88.2,GPSSpeedkm/h 189
442,88.4,GPSSpeedkm/h 196
443,88.6,GPSSpeedkm/h 199
444,88.8,GPSSpeedkm/h 194
445,89.0,GPSSpeedkm/h 188
446,89.2,GPSSpeedkm/h 177
447,89.4,GPSSpeedkm/h 167
448,89.6,GPSSpeedkm/h 163
449,89.8,GPSSpeedkm/h 156
450,90.0,GPSSpeedkm/h 153
451,90.2,GPSSpeedkm/h 151
452,90.4,GPSSpeedkm/h 150
453,90.6,GPSSpeedkm/h 145
454,90.8,GPSSpeedkm/h 145
455,91.0,GPSSpeedkm/h 145
456,91.2,GPSSpeedkm/h 144
457,91.4,GPSSpeedkm/h 142
458,91.6,GPSSpeedkm/h 144
459,91.8,GPSSpeedkm/h 147
460,92.0,GPSSpeedkm/h 151
461,92.2,GPSSpeedkm/h 151
462,92.4,GPSSpeedkm/h 144
463,92.6,GPSSpeedkm/h 133
464,92.8,GPSSpeedkm/h 126
465,93.0,GPSSpeedkm/h 117
466,93.2,GPSSpeedkm/h 107
467,93.4,GPSSpeedkm/h 103
468,93.6,GPSSpeedkm/h 097
469,93.8,GPSSpeedkm/h 095
470,94.0,GPSSpeedkm/h 093
471,94.2,GPSSpeedkm/h 091
472,94.4,GPSSpeedkm/h 088
473,94.6,GPSSpeedkm/h 086
474,94.8,GPSSpeedkm/h 085
475,95.0,GPSSpeedkm/h 084
476,95.2,GPSSpeedkm/h 084
477,95.4,GPSSpeedkm/h 084
478,95.6,GPSSpeedkm/h 087
479,95.8,GPSSpeedkm/h 089
480,96.0,GPSSpeedkm/h 092
481,96.2,GPSSpeedkm/h 094
482,96.4,GPSSpeedkm/h 095
483,96.6,GPSSpeedkm/h 092
484,96.8,GPSSpeedkm/h 091
485,97.0,GPSSpeedkm/h 090
486,97.2,GPSSpeedkm/h 092
487,97.4,GPSSpeedkm/h 760
488,97.6,GPSSpeedkm/h 097
489,97.8,GPSSpeedkm/h 100
490,98.0,GPSSpeedkm/h 104
491,98.2,GPSSpeedkm/h 107
492,98.4,GPSSpeedkm/h 114
493,98.6,GPSSpeedkm/h 121
494,98.8,GPSSpeedkm/h 127
495,99.0,GPSSpeedkm/h 132
496,99.2,GPSSpeedkm/h 142
497,99.4,GPSSpeedkm/h 148
498,99.6,GPSSpeedkm/h 157
499,99.8,GPSSpeedkm/h 163
500,100.0,GPSSpeedkm/h 167
501,100.2,GPSSpeedkm/h 174
502,100.4,GPSSpeedkm/h 178
503,100.6,GPSSpeedkm/h 186
504,100.8,GPSSpeedkm/h 190
505,101.0,GPSSpeedkm/h 196
506,101.2,GPSSpeedkm/h 202
