t_s,speed_kmh
287.20,170.0
287.40,175.0
287.60,180.0
287.80,183.0
288.00,190.0
288.20,195.0
288.40,199.0
288.60,203.0
289.00,207.0
289.20,209.0
289.40,209.0
289.60,210.0
290.00,215.0
290.20,217.0
290.40,219.0
290.60,219.0
290.80,220.0
291.00,227.0
291.20,230.0
291.40,232.0
291.60,236.0
291.80,238.0
292.20,252.0
292.40,252.0
292.60,252.0
292.80,252.0
293.00,253.0
293.20,253.0
293.40,253.0
293.60,253.0
293.80,253.0
294.40,175.0
294.60,172.0
294.80,183.0
295.20,155.0
295.40,155.0
295.60,155.0
295.80,155.0
296.40,155.0
296.60,156.0
296.80,156.0
297.00,157.0
297.20,157.0
297.40,157.0
297.60,168.0
297.80,157.0
298.00,158.0
298.20,158.0
298.40,158.0
298.60,158.0
298.80,158.0
299.00,159.0
299.20,159.0
299.40,159.0
299.60,159.0
299.80,159.0
300.20,201.0
300.40,203.0
300.60,206.0
300.80,209.0
301.00,213.0
301.20,217.0
301.40,221.0
301.60,225.0
301.80,227.0
302.00,227.0
302.20,227.0
302.40,226.0
302.60,225.0
302.80,225.0
303.00,225.0
303.20,225.0
303.40,225.0
303.60,226.0
303.80,227.0
304.00,231.0
304.20,230.0
304.40,226.0
304.60,222.0
304.80,219.0
305.80,212.0
306.00,213.0
306.20,215.0
306.40,217.0
306.60,219.0
306.80,221.0
307.00,223.0
307.20,225.0
307.40,227.0
307.60,229.0
307.80,232.0
308.00,235.0
308.20,239.0
309.60,252.0
310.00,256.0
310.20,258.0
310.40,261.0
310.60,263.0
310.80,265.0
311.00,267.0
311.20,269.0
311.60,272.0
311.80,283.0
312.00,276.0
312.20,278.0
312.40,275.0
312.60,269.0
312.80,261.0
313.40,222.0
313.80,207.0
314.20,192.0
314.40,188.0
314.60,185.0
314.80,183.0
315.00,182.0
315.20,180.0
315.40,178.0
316.00,217.0
316.40,173.0
316.60,163.0
316.80,175.0
317.00,173.0
317.20,168.0
318.20,138.0
318.40,136.0
318.60,133.0
318.80,131.0
319.00,130.0
319.20,130.0
319.40,131.0
319.60,132.0
319.80,133.0
320.00,135.0
320.20,138.0
320.80,150.0
321.00,155.0
321.20,160.0
321.60,170.0
321.80,173.0
322.00,178.0
322.20,183.0
323.00,182.0
323.40,159.0
324.00,130.0
324.20,125.0
324.40,119.0
325.00,108.0
325.20,108.0
325.40,106.0
325.60,105.0
325.80,105.0
326.00,107.0
326.20,109.0
326.80,120.0
327.00,125.0
327.20,132.0
327.40,139.0
327.80,150.0
328.60,172.0
328.80,176.0
329.00,182.0
329.20,188.0
329.40,192.0
329.80,200.0
330.20,208.0
330.40,212.0
330.60,215.0
330.80,217.0
331.00,220.0
331.20,219.0
331.40,210.0
331.60,203.0
332.20,217.0
332.80,158.0
334.20,123.0
334.60,170.0
334.80,172.0
335.40,181.0
335.80,185.0
336.00,185.0
336.20,185.0
336.80,183.0
337.20,182.0
337.40,182.0
337.60,183.0
338.00,183.0
338.20,185.0
338.40,188.0
339.00,195.0
339.40,199.0
339.60,200.0
339.80,203.0
340.00,205.0
340.20,209.0
340.40,212.0
340.60,215.0
340.80,218.0
341.00,221.0
341.20,222.0
341.40,227.0
341.60,231.0
341.80,223.0
342.20,223.0
342.80,283.0
343.20,253.0
343.40,256.0
343.60,258.0
343.80,261.0
344.00,263.0
344.20,266.0
344.40,268.0
344.60,263.0
344.80,273.0
345.00,275.0
345.20,277.0
345.40,279.0
345.60,281.0
345.80,282.0
346.00,285.0
346.20,286.0
346.40,289.0
346.60,290.0
346.80,292.0
347.00,293.0
347.20,295.0
347.40,297.0
347.60,298.0
347.80,300.0
348.00,301.0
348.20,302.0
348.60,305.0
348.80,306.0
349.00,307.0
349.20,308.0
349.40,309.0
349.60,309.0
349.80,311.0
350.00,312.0
350.20,312.0
350.40,313.0
350.80,315.0
351.20,317.0
351.80,319.0
352.00,320.0
352.20,321.0
352.40,321.0
352.60,322.0
352.80,323.0
353.00,323.0
353.40,325.0
353.60,325.0
353.80,326.0
354.00,326.0
354.20,327.0
354.40,327.0
354.60,328.0
354.80,328.0
355.00,329.0
355.20,329.0
355.40,329.0
355.60,330.0
355.80,330.0
356.00,330.0
356.20,331.0
356.40,331.0
356.60,331.0
356.80,332.0
357.00,332.0
357.20,332.0
357.40,332.0
357.60,332.0
357.80,333.0
358.00,333.0
358.20,333.0
358.40,333.0
358.60,333.0
360.00,335.0
360.20,335.0
360.40,335.0
360.60,335.0
360.80,335.0
361.00,336.0
361.20,336.0
361.40,336.0
361.60,336.0
361.80,336.0
362.00,336.0
362.20,336.0
362.40,336.0
362.60,337.0
362.80,337.0
363.00,337.0
363.20,338.0
363.40,338.0
363.60,338.0
363.80,338.0
364.00,339.0
364.20,339.0
364.40,339.0
364.60,339.0
364.80,339.0
365.00,338.0
365.20,339.0
365.60,63.0
366.00,339.0
366.20,339.0
366.60,63.0
367.80,83.0
368.20,123.0
368.40,132.0
368.80,183.0
369.20,23.0
