lap_t,speed
76.360,147
76.400,143
76.440,143
76.480,143
76.520,139
76.560,139
76.600,136
76.640,136
76.680,136
76.720,132
76.760,132
76.800,129
76.840,129
76.880,129
76.920,128
76.960,128
77.000,125
77.040,125
77.080,125
77.120,124
77.160,124
77.200,123
77.240,123
77.280,123
77.320,121
77.360,121
77.400,119
77.440,119
77.480,119
77.520,116
77.560,116
77.600,113
77.640,113
77.680,113
77.720,110
77.760,110
77.800,108
77.840,108
77.880,108
77.920,106
77.960,106
78.000,105
78.040,105
78.080,105
78.120,104
78.160,104
78.200,103
78.240,103
78.280,103
78.320,102
78.360,102
78.400,102
78.440,102
78.480,102
78.520,101
78.560,101
78.600,100
78.640,100
78.680,100
78.720,100
78.760,100
78.800,99
78.840,99
78.880,99
78.920,99
78.960,99
79.000,98
79.040,98
79.080,98
79.120,97
79.160,97
79.200,97
79.240,97
79.280,97
79.320,97
79.360,97
79.400,97
79.440,97
79.480,97
79.520,97
79.560,97
79.600,98
79.640,98
79.680,98
79.720,99
79.760,99
79.800,100
79.840,100
79.880,100
79.920,102
79.960,102
80.000,103
80.040,103
80.080,103
80.120,105
80.160,105
80.200,106
80.240,106
80.280,106
80.320,107
80.360,107
80.400,109
80.440,109
80.480,109
80.520,110
80.560,110
80.600,111
80.640,111
80.680,111
80.720,113
80.760,113
80.800,114
80.840,114
80.880,114
80.920,116
80.960,116
81.000,118
81.040,118
81.080,118
81.120,120
81.160,120
81.200,122
81.240,122
81.280,122
81.320,124
81.360,124
81.400,126
81.440,126
81.480,126
81.520,128
81.560,128
81.600,131
81.640,131
81.680,131
81.720,133
81.760,133
81.800,136
81.840,136
81.880,136
81.920,138
81.960,138
82.000,140
82.040,140
82.080,140
82.120,142
82.160,142
82.200,144
82.240,144
82.280,144
82.320,147
82.360,147
82.400,149
82.440,149
82.480,149
82.520,151
82.560,151
82.600,154
82.640,154
82.680,154
82.720,156
82.760,156
82.800,158
82.840,158
82.880,158
82.920,161
82.960,161
83.000,163
83.040,163
83.080,163
83.120,164
83.160,164
83.200,166
83.240,166
83.280,166
83.320,167
83.360,167
83.400,176
83.440,176
83.480,176
83.520,179
83.560,179
83.600,180
83.640,180
83.680,180
83.720,181
83.760,181
83.800,184
83.840,184
83.880,184
83.920,188
83.960,188
84.000,190
84.040,190
84.080,190
84.120,194
84.160,194
84.200,197
84.240,197
84.280,197
84.320,200
84.360,200
84.400,202
84.440,202
84.480,202
84.520,204
84.560,204
84.600,206
84.640,206
84.680,206
84.720,209
84.760,209
84.800,211
84.840,211
84.880,211
84.920,213
84.960,213
85.000,216
85.040,216
85.080,216
85.120,217
85.160,217
85.200,219
85.240,219
85.280,219
85.320,220
85.360,220
85.400,221
85.440,221
85.480,221
85.520,221
85.560,221
85.600,223
85.640,223
85.680,223
85.720,224
85.760,224
85.800,
85.840,
85.880,
85.920,
85.960,
86.000,229
86.040,229
86.080,229
86.120,231
86.160,
86.200,
86.240,
86.280,
86.320,235
86.360,235
86.400,236
86.440,236
86.480,236
86.520,238
86.560,238
86.600,240
86.640,240
86.680,240
86.720,241
86.760,241
86.800,242
86.840,242
86.880,242
86.920,242
86.960,242
87.000,242
87.040,242
87.080,242
87.120,242
87.160,242
87.200,244
87.240,244
87.280,244
87.320,245
87.360,245
87.400,247
87.440,247
87.480,247
87.520,249
87.560,249
87.600,250
87.640,250
87.680,250
87.720,252
87.760,252
87.800,254
87.840,254
87.880,254
87.920,255
87.960,255
88.000,257
88.040,257
88.080,257
88.120,259
88.160,259
88.200,260
88.240,260
88.280,260
88.320,262
88.360,262
88.400,264
88.440,264
88.480,264
88.520,265
88.560,265
88.600,267
88.640,267
88.680,267
88.720,268
88.760,268
88.800,269
88.840,269
88.880,269
88.920,271
88.960,
89.000,
89.040,
89.080,
89.120,273
89.160,273
89.200,275
89.240,275
89.280,275
89.320,276
89.360,276
89.400,277
89.440,277
89.480,277
89.520,278
89.560,278
89.600,280
89.640,280
89.680,280
89.720,281
89.760,281
89.800,282
89.840,282
89.880,282
89.920,284
89.960,284
90.000,285
90.040,285
90.080,285
90.120,
90.160,287
90.200,288
90.240,288
90.280,288
90.320,
90.360,
90.400,285
90.440,285
90.480,285
90.520,282
90.560,282
90.600,279
90.640,279
90.680,279
90.720,275
90.760,275
90.800,272
90.840,272
90.880,272
90.920,270
